titre,résumé,temps,année,votes,nombre de votes,popularité,acteurs,directeurs,production,genres,id_film,id_genre,poster_url,genre_1,genre_2,genre_3
Bloody Sunday,"Le dimanche 30 janvier 1972, à Derry, en Irlande du Nord, Ivan Cooper est l'organisateur d'une marche pacifique pour l'égalité des droits entre catholiques et protestants, farouchement déterminés à éviter toute violence entre les différents protagonistes. Mais malgré son dialogue avec les autorités unionistes et ses tentatives de négociation avec les forces de l'ordre britanniques, la manifestation se transforme en émeute : treize personnes sont tuées par l'armée. Cette journée, désormais inscrite dans l'Histoire sous le nom de Bloody Sunday, marque le début de la guerre civile.",107,25-01-2002,7.3,331,4.0507,"['James Nesbitt', 'Allan Gildea', 'Gerard Crossan', 'Mary Moulds', 'Carmel McCallion', 'Tim Pigott-Smith', 'Nicholas Farrell', 'Christopher Villiers', 'James Hewitt', 'Declan Duddy', 'Edel Frazer', 'Joanne Lindsay', 'Mike Edwards', 'Gerry Hammond', 'Jason Stammers', 'Ken Williams', 'Bryan Watts', 'Simon Mann', 'Rhidian Bridge', ""Johnny O'Donnell"", 'David Clayton Rogers', ""Sean O'Kane"", 'Thomas McEleney', 'Deirdre Irvine', 'Gerry Newton', 'David Pearse', 'Gerard McSorley', 'Kathy Kiera Clarke']",['Paul Greengrass'],"Granada Television, Portman Entertainment Group, Fís Éireann/Screen Ireland, Hell's Kitchen","['Drame', 'Histoire']",4107,"[18, 36]",https://image.tmdb.org/t/p/w500/hjx0hVZzDxgUmEIns6YKQQ4vlAm.jpg,Drame,Histoire,-
Cœur allumé,Non disponible,130,02-06-1998,4.286,7,4.0475,"['Miguel Ángel Solá', 'Maria Luísa Mendonça', 'Walter Quiroz', 'Xuxa Lopes', 'Norma Aleandro', 'Villanueva Cosse', 'Oscar Ferrigno Jr.', 'Arturo Maly', 'Daniel Fanego', 'Alejandro Awada', 'Carlos Briolotti', 'Luis Luque', 'Carlos Bermejo', 'Miguel Ángel Porro', 'Francisco Ramalho Jr.']",['Héctor Babenco'],"TV Cultura, HB Filmes, Oscar Kramer S.A., Sony Pictures, Canal+, Flach Film",['Drame'],198427,[18],https://image.tmdb.org/t/p/w500/pNNWjX1UOAczx33T1pVXWN8Wgf0.jpg,Drame,-,-
99 Moons,"Bigna, sismologue de 28 ans, veut tout contrôler, jusqu’à ses jeux érotiques où elle domine ses partenaires. Frank, 33 ans, travaille de nuit dans des clubs où il s’évade dans les paradis artificiels et les relations sans lendemain. Ces deux mondes que tout oppose entrent en collision, puis s’unissent, entre attraction sexuelle et désir de liberté, déclenchant une folle histoire d'amour qui s’égrène sur 99 lunes.",117,27-04-2023,4.3,34,4.0463,"['Valentina Di Pace', 'Dominik Fellmann', 'Danny Exnar', 'Gregory Hari', 'Ale Lindman', 'Jessica Huber', 'Kathrin Schweizer', 'Katerina Stoykova-Klemer', 'Lia von Blarer', 'Leo Matteo Girolamo', 'Annina Machaz', 'Noemi Ceresola']",['Jan Gassmann'],"SRG SSR, SRF, Zodiac Pictures",['Drame'],964819,[18],https://image.tmdb.org/t/p/w500/wYGs5AfuACFSpLr9CqySWPvnqdW.jpg,Drame,-,-
Brendan et le secret de Kells,"C'est en Irlande au 9ème siècle, dans l'abbaye fortifiée de Kells, que vit Brendan, un jeune moine de douze ans. Avec les autres frères, Brendan aide à la construction d'une enceinte pour protéger l'abbaye des assauts réguliers des vikings. Sa rencontre avec Frère Aidan, célèbre maître enlumineur et ""gardien"" d'un Livre d'enluminures fabuleux mais inachevé, va l'entraîner dans de fantastiques aventures. Aidan va initier Brendan à l'art de l'enluminure pour lequel le jeune garçon révélera un talent prodigieux. Pour finir le livre et défiant ses propres peurs, Brendan sortira de l'abbaye pour la première fois et entrera dans la forêt enchantée où de dangereuses créatures mythiques se cachent et l'attendent. C'est là qu'il va rencontrer Aisling, la jeune enfant loup qui l'aidera tout au long de son chemin. Brendan va-t-il réussir sa mission malgré les hordes de vikings qui se rapprochent ? Pourra t-il prouver que l'art est la meilleure fortification contre les barbares ?",75,09-02-2009,7.4,750,4.0453,"['Evan McGuire', 'Christen Mooney', 'Brendan Gleeson', 'Mick Lally', 'Liam Hourican', 'Paul Tylak', 'Michael McGrath', 'Paul Young', 'Nora Twomey', 'Alli McCann', 'Clair Funchion', ""Conor O'Halloran"", 'Gaelle Hersent', 'Marie Thorhauge', 'Sean Ono Lennon', 'Jonas Hoffmann', 'Fabian Erlinghäuser', 'Kairen Waloch', ""James William O'Halloran""]",['Tomm Moore'],"Cartoon Saloon, Gébéka Films, Les Armateurs, Vivi Film, France 2 Cinéma, Celluloid Dreams, RTÉ, Fís Éireann/Screen Ireland","['Animation', 'Familial', 'Fantastique']",26963,"[16, 10751, 14]",https://image.tmdb.org/t/p/w500/8v1ciuMv7N86ti3jo3rN9tOQfx7.jpg,Animation,Familial,Fantastique
Le Deuxième Souffle,"Gustave Minda, dit ""Gu"", 48 ans dont 8 de placard, s'évade de la prison de Castres et rejoint Manouche et son garde du corps Alban à Paris. Pendant ce temps, à Marseille, un ami de Gu, Paul Ricci met au point un hold-up. Gu arrive à temps pour sauver Manouche des griffes des hommes de Jo Ricci, frère de Paul.  Gu réglera les comptes à sa manière. Pour le commissaire Blot, ces meurtres portent incontestablement la signature de Gu. Gu descend à Marseille d'où il compte gagner l'étranger avec Manouche. Mais il lui faut de l'argent. Paul Ricci travaillera avec Gu sur ce braquage de fourgon blindé sur une route de l'arrière pays. Mais pour cela, il faut tuer les policiers motards qui escortent le convoi…",150,01-11-1966,7.6,196,4.0431,"['Lino Ventura', 'Paul Meurisse', 'Christine Fabréga', 'Michel Constantin', 'Raymond Pellegrin', 'Marcel Bozzuffi', 'Pierre Zimmer', 'Denis Manuel', 'Pierre Grasset', 'Paul Frankeur', 'Jean Négroni', 'Jacques Léonard', 'Raymond Loyer', 'Sylvain Lévignac', 'Louis Bugette', 'Albert Michel', 'Jean-Claude Bercq', 'Albert Dagnant', 'Pierre Gualdi', 'Marcel Bernier']",['Jean-Pierre Melville'],Les Productions Montaigne,"['Action', 'Drame', 'Crime']",25047,"[28, 18, 80]",https://image.tmdb.org/t/p/w500/fyNR3Vo4cdUBqDDqAbQQ3GR4HrF.jpg,Action,Drame,Crime
Bush Mama,Non disponible,97,01-09-1979,6.7,12,4.043,"['Barbara O. Jones', 'Johnny Weathers', 'Cora Lee Day', 'Simmi Ella Nelson', 'Bettie J. Wilson', 'Bob Ogburn Jr.', 'Susan Williams', 'Ben Collins', 'Renna Kraft']",['Haile Gerima'],Inconnu,['Drame'],95771,[18],https://image.tmdb.org/t/p/w500/1Bkzip5dnhQmlkPkQ86tYVzqOEa.jpg,Drame,-,-
Le Dos au mur,"Jacques Decret, un riche industriel, découvre que sa femme Gloria le trompe avec un jeune comédien. Pour se venger, il la harcèle de lettres anonymes et la convainc de la culpabilité de son amant. Désemparée, Gloria tue accidentellement le jeune homme. Jacques ensevelit le cadavre dans un mur en construction et l'affaire est classée. Mais un soir, Gloria comprend toute la machination.",93,07-03-1958,6.3,28,4.0427,"['Jeanne Moreau', 'Gérard Oury', 'Philippe Nicaud', 'Claire Maurier', 'Gérard Buhr', 'George Cusin', 'Robert Bazil', 'Jean Degrave', 'Richard Francœur', 'Françoise Honorat', 'Joëlle Janin', 'Robert Le Béal', 'Marguerite Lorne', 'Micheline Luccioni', 'Jacques Mancier', 'Suzanne Martichoux', 'Pascal Mazzotti', 'Jacqueline Noëlle', 'Philippe Olive', 'Aurore Chabrol', 'Chantal de Rieux', 'Jean-Marie Rivière', 'Jean Lefebvre', 'Colette Renard', 'Jean Michaud', 'Albert Michel', 'René Berthier']",['Édouard Molinaro'],Société Nouvelle des Établissements Gaumont (SNEG),"['Crime', 'Drame']",105670,"[80, 18]",https://image.tmdb.org/t/p/w500/bEfYBt6OqqmM48x9OPgDfD9OcHP.jpg,Crime,Drame,-
Les Amants du Nil,"Pendant la Seconde Guerre mondiale, en 1943, Anne Frendo, une jeune fille rêveuse et artiste, vivant seule avec son père en Tunisie, découvre, au hasard d'une promenade sur la plage, le corps inanimé d'un soldat français, parachuté. A l'invitation de sa tante égyptologue Sophie Frendo, elle entreprend un voyage qui la mène à Sfax, en Egypte, emportant avec elle une lettre que le militaire avait commencé à écrire, et qui lui semble destinée.",90,16-01-2002,4.0,1,4.04,"['Emma de Caunes', 'Éric Caravaca', 'Bernadette Lafont', 'Jacques Nolot', 'Murray Head', 'Christophe Odent', 'Lyèce Boukhitine', 'Arié Elmaleh', 'Mathias Jung', 'Rodolphe Congé', 'Youssef Rekik', 'Lotfi Abdelli', 'Jean Romnicianu', 'Jean-Louis Scaringella', 'Alain Hocine', 'Lamine Hasni', 'Omar Baha', 'Marc Léonian', 'Salim Saber', 'Jimmy Landais', 'Yann Konisberg', 'Alexandre Carlsberg', 'David Le Roch']",['Éric Heumann'],"Canal+, Paradis Films, Pandora Films, Classic SRL, CNC, Eurimages, Sofica Sofinergie 5",[],119692,[],https://image.tmdb.org/t/p/w500/9x18aIHzGAtQH2ruuqfgswDHtR8.jpg,-,-,-
Le Désirable et le Sublime,"Un couple invite un homme à dîner. À la télévision, des personnalités politiques se succèdent pour évoquer les prochaines élections présidentielles. La soirée est pleine de discussions politiques et philosophiques, mais aussi de fantasmes sexuels.",80,22-04-1970,3.5,4,4.0235,"['Henri Piégay', 'Maria Pia Luzi', 'Lara Lane', 'Robert Audran', 'Gaston Defferre', 'Ludia Lorenz', 'Pierre Mendès France', 'Georges Pompidou']",['José Bénazéraf'],Inconnu,[],255844,[],https://image.tmdb.org/t/p/w500/wZSTv8PFtU4rJOWRPRhLdhbJi5E.jpg,-,-,-
Au-delà des grilles,"Pierre, un homme recherché par la police française pour le meurtre de sa maîtresse, débarque clandestinement dans le port de Gênes en Italie. Aidé par Cecchina, une petite fille, il fait bientôt la rencontre de la mère de celle-ci, Marta...",89,19-09-1949,6.5,30,4.0187,"['Jean Gabin', 'Isa Miranda', 'Vera Talchi', 'Andrea Checchi', 'Robert Dalban', 'Ave Ninchi', 'Checco Rissone', 'Renato Malavasi', 'Carlo Tamberlani', 'Vittorio Duse', 'Agnese Dubbini', 'Claudio Ermelli', 'Alessandro Fersen', 'Franca Lumachi', 'Franco Pesce', 'Ermanno Randi', 'Michele Riccardini', 'Dina Romano', 'Giulio Tomasini', 'Pietro Tordi']",['René Clément'],"Italia Produzione Film, Francinex","['Drame', 'Romance']",65718,"[18, 10749]",https://image.tmdb.org/t/p/w500/4fwcaB97cyq8a4D2WtDN7dADxtY.jpg,Drame,Romance,-
Cas de conscience,"Le docteur Ferguson et sa femme Helen, en vacances dans un pays d'Amérique latine, sont amenés de force au Palais présidentiel par des militaires. Le chef d'État, nommé Raoul Farrago, est un dictateur. Il est condamné à brève échéance par une tumeur au cerveau, à moins que Ferguson ne tente une opération de la dernière chance. Le chirurgien hésite, mais son sens du devoir le fait accepter. C'est alors que des opposants au régime enlèvent Helen et informent Ferguson qu'elle sera exécutée si le Président survit à cette opération...",93,07-07-1950,6.596,26,4.0177,"['Cary Grant', 'José Ferrer', 'Paula Raymond', 'Signe Hasso', 'Ramon Novarro', 'Gilbert Roland', 'Leon Ames', 'John George']",['Richard Brooks'],"Loew's Incorporated, Metro-Goldwyn-Mayer","['Crime', 'Drame', 'Thriller']",52364,"[80, 18, 53]",https://image.tmdb.org/t/p/w500/xge47mVqfGAFMzd5XOe67wrJqM6.jpg,Crime,Drame,Thriller
La Ruée,"Dans les années 30, pendant la Grande dépression, Thomas Dickson, banquier, doit faire face a son conseil d'administration frileux, alors qu'il veut faire circuler l'argent qui lui est confié. De plus, sa femme le trompe avec le caissier principal, qui fomente un hold-up. Mais Matt, un ancien prisonnier auquel il a donne une seconde chance, déjouera tous les pièges et parviendra a sauver la banque de la faillite.",75,15-08-1932,6.826,46,4.0155,"['Walter Huston', ""Pat O'Brien"", 'Kay Johnson', 'Constance Cummings', 'Gavin Gordon', 'Arthur Hoyt', ""Robert Emmett O'Connor"", 'Edwin Maxwell', 'Sterling Holloway', 'Robert Ellis', 'Tom Dugan', 'Charley Grapewin', 'Harry C. Bradley', 'Eddy Chandler', 'Berton Churchill', 'Sarah Edwards', 'Julia Griffith', 'Sherry Hall', 'Harry Holman', 'Anderson Lawler', 'Ralph Lewis', 'Edward Martindel', ""J. Pat O'Malley"", 'Tempe Pigott', 'Jeanne Sorel', 'Harry Todd', ""Fred 'Snowflake' Toones"", 'Polly Walters', 'Eddie Foster', ""Pat O'Malley"", 'Lee Phelps', 'Harry Semels', 'Joan Standing', 'Emma Tansey', 'Walter Walker']",['Frank Capra'],Columbia Pictures,"['Drame', 'Crime']",1773,"[18, 80]",https://image.tmdb.org/t/p/w500/iGcZcWedKmZgMuk0P9nmDzdigHu.jpg,Drame,Crime,-
Casa Grande,"Fils d’une famille de l’élite bourgeoise de Rio de Janeiro, un adolescent, Jean, doit apprendre à s’échapper de l’emprise de ses parents qui s’engouffrent dans une spirale irréversible de faillite économique.",117,28-01-2014,6.9,123,4.0149,"['Thales Cavalcanti', 'Marcello Novaes', 'Suzana Pires', 'Clarissa Pinheiro', 'Bruna Amaya', 'Alice Melo', 'Georgiana Góes', 'Sandro Rocha', 'Lucélia Santos', 'Gentil Cordeiro', 'Marília Coelho', 'Victor Camelo', 'Christian Gazzetta']",['Fellipe Barbosa'],"Migdal Filmes, Gamarosa Filmes, Guiza Produções Audiovisuais, TeleImage",['Drame'],268100,[18],https://image.tmdb.org/t/p/w500/hNsBCjQ3p1RSxZtEj9t38WSLAEV.jpg,Drame,-,-
L'Adorable voisine,"Gillian Holroyd est une jeune et belle sorcière qui tient un magasin d'art africain, à Greenwich Village, quartier de la bohème new-yorkaise. L'étrange pouvoir qui lui permet de faire et defaire à sa guise les choses de la vie ne l'empèche pas d'être bien seule en cette veille de Noël. Elle sait que le jour où elle tombera amoureuse, son pouvoir magique disparaitra. C'est alors que le séduisant éditeur Shep Henderson, et locataire du troisième étage, frappe à sa porte, son téléphone étant malencontreusement tombé en panne...",106,25-12-1958,6.5,237,4.0139,"['James Stewart', 'Kim Novak', 'Jack Lemmon', 'Ernie Kovacs', 'Hermione Gingold', 'Elsa Lanchester', 'Janice Rule', 'Philippe Clay', 'Bek Nelson', 'Howard McNear', 'Fred Aldrich', 'Leon Alton', 'Monty Ash', 'Alex Ball', 'Joe Barry', 'Wolfe Barzell', 'Gail Bonney', 'Don Brodie', 'Robert Haines', 'James Lanphier', 'Perk Lazelle', 'Ted Mapes', 'Hans Moebus', ""Ollie O'Toole"", 'John Truax']",['Richard Quine'],"Julian Blaustein Productions, Columbia Pictures","['Comédie', 'Fantastique', 'Romance']",2006,"[35, 14, 10749]",https://image.tmdb.org/t/p/w500/sXf3cIPoZpyOXpfMY1jOjloIWel.jpg,Comédie,Fantastique,Romance
Un Amour impossible,"À la fin des années 50 à Châteauroux, Rachel, modeste employée de bureau, rencontre Philippe, brillant jeune homme issu d'une famille bourgeoise. De cette liaison passionnelle mais brève naîtra une petite fille, Chantal. Philippe refuse de se marier en dehors de sa classe sociale. Rachel devra élever sa fille seule. Peu importe, pour elle Chantal est son grand bonheur, c'est pourquoi elle se bat pour qu'à défaut de l'élever, Philippe lui donne son nom. Une bataille de plus de dix ans qui finira par briser sa vie et celle de sa fille.",135,07-11-2018,6.618,216,4.0119,"['Virginie Efira', 'Niels Schneider', 'Jehnny Beth', 'Estelle Lescure', 'Coralie Russier', 'Iliana Zabeth', 'Catherine Morlot', 'Ambre Hasaj', 'Sasha Alessandri-Torrès Garcia', 'Pierre Salvadori', 'Gaël Kamilindi', 'Simon Bakhouche', 'Didier Sandre', 'Simon Poulain', 'Siegrid Alnoy', 'Lionel Robert', 'Mounia Raoui', 'Arthur Igual', 'Jean-Christophe Brétignière', 'Régis Romele', 'Mélina Garcia', 'Norah Fradet', 'Lola Alzieu', 'Inès Mitanchet', 'Cassandre Masurel Gotchaux', 'Anaïs Bar', 'Iris Oyabayo-Chapron', 'Gina de Sordi', 'Maya Colombani', 'Caloé', 'Pascal Tantot', 'Caroline Borderieux', 'Virginie Kotlinski', 'Hamid Chbiki', 'Françoise Anselmi', 'Brunelle Clergerie']",['Catherine Corsini'],"Artémis Productions, Le Pacte, CHAZ Productions, France 3 Cinéma","['Drame', 'Romance', 'Histoire']",451713,"[18, 10749, 36]",https://image.tmdb.org/t/p/w500/tXs33dNsg09jXxGWcT2gDkeMvYw.jpg,Drame,Romance,Histoire
Le Diable en boîte,"Pourchassé par la police, Cameron trouve par hasard refuge sur le lieu de tournage d'un film, en se prétendant cascadeur. Ravi, le réalisateur lui propose alors de remplacer au pied levé celui qui vient de périr noyé peu de temps auparavant...",131,27-06-1980,6.6,154,4.0096,"[""Peter O'Toole"", 'Steve Railsback', 'Barbara Hershey', 'Allen Garfield', 'Alex Rocco', 'Sharon Farrell', 'Adam Roarke', 'Philip Bruns', 'Charles Bail', 'John Garwood', 'Jim Hess', 'John Pearce', 'Michael Railsback', 'George D. Wallace', 'Dee Carroll', 'Leslie Winograde', 'Don Kennedy', 'Whitey Hughes', 'Walter Robles', 'A.J. Bakunas', 'Roberto Caruso', 'Frank Avila', 'Stafford Morgan', 'John Alderman', 'Jack Palinkas', 'James Garrett', 'Garrett McPherson', 'Nelson Tyler', 'Louis Gartner', 'James Avery', 'Gregg Berger', 'Patricia McPherson']",['Richard Rush'],"20th Century Fox, Melvin Simon Productions","['Action', 'Comédie', 'Drame', 'Thriller', 'Romance']",42160,"[28, 35, 18, 53, 10749]",https://image.tmdb.org/t/p/w500/cPJkzwRnreNot9tPcY0ZjjvvDRO.jpg,Action,Comédie,Drame
Le Chœur de Tokyo,"Un employé d'une compagnie d'assurances est licencié. Confronté à de gros problèmes financiers, il est contraint de faire l'homme-sandwich en secret pour payer les médicaments de sa fille malade.",90,15-08-1931,6.7,43,4.0069,"['岡田時彦', '八雲恵美子', '菅原秀雄', '高峰秀子', '斎藤達雄', '飯田蝶子', '坂本武', '谷麗光', '宮島健一', '山口勇', '河原侃二']",['Yasujirō Ozu'],Shochiku,"['Comédie', 'Drame']",112882,"[35, 18]",https://image.tmdb.org/t/p/w500/fEZVkHb1GHlSbGtrfXMqXRFM2hi.jpg,Comédie,Drame,-
El crimen de Cuenca,Non disponible,89,17-08-1981,6.758,32,4.0058,"['Amparo Soler Leal', 'Héctor Alterio', 'Daniel Dicenta', 'José Manuel Cervino', 'Mary Carrillo', 'Francisco Casares', 'Eduardo Calvo', 'José Vivó', 'Félix Rotaeta', 'Guillermo Montesinos', 'Pedro del Río', 'Mercedes Sampietro', 'Nicolás Dueñas', 'Antonio Canal', 'Juan Jesús Valverde', 'Francisco Merino', 'Francisco Guijar', 'Vicente Cuesta', 'Assumpta Serna', 'Roberto Cruz', 'Jaime Segura', 'José Caride', 'Juan Lombardero', 'Tony Valento', 'Marisa Tejada', 'Antonio Orengo', 'Fernando Rey']",['Pilar Miró'],"Incine, Jet Films","['Drame', 'Histoire']",105419,"[18, 36]",https://image.tmdb.org/t/p/w500/rmfZkB8HrYv7HAZK2gVLRkUqbJG.jpg,Drame,Histoire,-
Au-delà des collines,"Alina revient d'Allemagne pour y emmener Voichita, la seule personne qu'elle ait jamais aimée et qui l'ait jamais aimée. Mais Voichita a rencontré Dieu et en amour, il est bien difficile d'avoir Dieu comme rival.",150,25-10-2012,7.1,199,4.0047,"['Cosmina Stratan', 'Cristina Flutur', 'Valeriu Andriuță', 'Dana Tapalagă', 'Cătălina Harabagiu', 'Gina Tandura', 'Vica Agache', 'Nora Covali', 'Luminița Gheorghiu', 'Dionisie Vitcu', 'Ionut Ghinea', 'Liliana Mocanu', 'Doru Ana', 'Costache Babii', 'Alina Berzunțeanu', 'Teodor Corban', 'Călin Chirilă', 'Cristina Cristian', 'Tania Popa', 'Petronela Grigorescu', 'Radu Zetu', 'Ion Sapdaru', 'Diana Chirila Ignat', 'Liana Petrescu', 'Alexandra Agavriloaiei', 'Alexandra Apetrei', 'Noemi Gunea', 'Katia Pascariu', 'Mara Căruțașu', 'Cristina Mihailescu', 'Cerasela Iosifescu', 'Ada Barleanu', 'Mariana Liurca', 'Gheorghe Ifrim', 'Florin Mircea Jr.', 'Marian Adochitei', 'Ecaterina Tugulea', 'Nicoleta Lefter', 'Andreea Bosneag', 'Adrian Acuta']",['Cristian Mungiu'],"France 3 Cinéma, Les Films du Fleuve, Mandragora Movies, Mobra Films, Why Not Productions","['Drame', 'Romance']",103740,"[18, 10749]",https://image.tmdb.org/t/p/w500/qNZfZInwmTsa4jXd0jD7jOzEaup.jpg,Drame,Romance,-
American Honey,"Star, une adolescente, quitte sa famille dysfonctionelle et rejoint une équipe de vente d'abonnements de magazines, qui parcourt le midwest américain en faisant du porte à porte. Aussitôt à sa place parmi cette bande de jeunes, dont fait partie Jake, elle adopte rapidement leur style de vie, rythmé par des soirées arrosées, des petits méfaits et des histoires d’amour…",163,30-09-2016,6.795,899,4.0042,"['Sasha Lane', 'Shia LaBeouf', 'Riley Keough', 'Arielle Holmes', 'McCaul Lombardi', 'Crystal Ice', 'Veronica Ezell', 'Raymond Coalson', 'Garry Howell', 'Chad Cox', 'Kenneth Kory Tucker', 'Isaiah Stone', 'Dakota Powers', 'Shawna Rae Moseley', 'Christopher David Wright', 'Summer Hunsaker', 'Brody Hunsaker', 'Johnny Pierce II', 'Chasity Hunsaker', 'Michael Hunsaker', 'Kaylin Mally', 'Laura Kirk', 'Will Patton', 'Daran Shinn', 'Sam Williamson', 'Bruce Gregory', 'Andrea Fantauzzi', 'Chris Bylsma']",['Andrea Arnold'],"BFI, Maven Screen Media, Film4 Productions, Parts & Labor, Pulse Films",['Drame'],340485,[18],https://image.tmdb.org/t/p/w500/41SVO0AElBAl7zks9dFhJ0OjHni.jpg,Drame,-,-
Le Déserteur,"Quelque part dans le monde, une guerre fait rage. Terrifié à l’idée d’être mobilisé, Philippe a fui Montréal pour se réfugier dans un Ouest américain aussi sauvage qu’hypnotisant. Il vit tant bien que mal de concours d'imitation de Charlie Chaplin. Mais la cruauté de l’humanité ne se limite pas aux champs de bataille, et Philippe ne va pas tarder à découvrir la face obscure du rêve américain.",94,25-01-2019,5.382,17,4.0015,"['Martin Dubreuil', 'Romain Duris', 'Sarah Gadon', 'Reda Kateb', 'Soko', 'Cody Fern', 'Buddy Duress', 'Luzer Twersky']",['Maxime Giroux'],Metafilms,"['Drame', 'Histoire', 'Thriller']",539825,"[18, 36, 53]",https://image.tmdb.org/t/p/w500/xVz1dASnIIQdJhYKe9ZcHEuQY9z.jpg,Drame,Histoire,Thriller
Le Diable probablement,"Les interrogations sur le sens du monde d'un groupuscule anarchiste et surtout celles de Charles, jeune homme acceptant difficilement le gaspillage de la vie et qui opte pour le suicide.",97,15-06-1977,6.8,124,4.0009,"['Antoine Monnier', 'Tina Irissari', 'Henri de Maublanc', 'Laetitia Carcano', 'Nicolas Deguy', 'Régis Hanrion', 'Geoffroy Gaussen', 'Roger Honorat', 'Vincent Cottrel', 'Laurence Delannoy', 'Laetitia Martinneti', 'Martin Schlumberger', 'Thadee Klossowsky', 'Miguel Irissari', 'Nadine Boyer-Vidal', 'Roland De Corbiac', 'Dominique Lyon']",['Robert Bresson'],"G.M.F. Productions, Sunchild Productions",['Drame'],32097,[18],https://image.tmdb.org/t/p/w500/6wBUp7iagH0NeRqPPhYxtx0wsXq.jpg,Drame,-,-
Another Year,"Printemps, été, automne et hiver. La famille et l'amitié. Amour et réconfort. Joie et peine. Espoir et découragement. La fraternité. La solitude. Une naissance. Une mort. Le temps passe...",129,05-11-2010,7.001,419,4.0004,"['Lesley Manville', 'Ruth Sheen', 'Jim Broadbent', 'Oliver Maltman', 'David Bradley', 'Peter Wight', 'Karina Fernandez', 'Michele Austin', 'Phil Davis', 'Martin Savage', 'Imelda Staunton', 'Stuart McQuarrie', 'Eileen Davies', 'Mary Jo Randle', 'Ben Roberts', 'Ralph Ineson', 'Edna Doré', 'Badi Uzzaman', 'Meneka Das', 'Gary Powell', 'Lisa McDonald', 'David Hobbs']",['Mike Leigh'],"Focus Features, UK Film Council, Film4 Productions, Thin Man Films","['Drame', 'Comédie']",44009,"[18, 35]",https://image.tmdb.org/t/p/w500/dswOz7SF9DWMaWeSfOw4j62eiwz.jpg,Drame,Comédie,-
"Après la pluie, le beau temps","Petite chanteuse de variétés légères à l'imaginaire nunuche et coloré, Rose Bonbon est à la colle avec Roger, une brute caractérielle. Entre hôtels minables et restaurants bas de gamme, elle rencontre le beau Dubel, un imprésario sur la touche. Dubel engage Rose au pied levé afin de remplacer Hermine Zibeline pour une tournée en région parisienne - dont la première a lieu le lendemain soir à Tremblay-en-France - avec ""les célèbres Billy Boys de Broadway"". Un rêve sans limite prend alors forme dans l'esprit déjanté de ces indomptables ringards, à qui Dubel promet, l'année prochaine, l'Olympia... Mais c'est la course contre la montre, car il faut d'abord trouver un pianiste. Au terme d'un road-movie semé de catastrophes, l'identité de Rose, et de ceux qu'elle aime, changera pour toujours.",92,09-06-2003,0.0,0,3.9916,"['Julie Gayet', 'Marc Barbé', 'Clovis Cornillac', 'Tom Novembre', 'Philippe Bizari', 'Valéria Cavalli', 'Salvatore Ingoglia', 'Tolsty', 'Fawzi B. Saichi', 'Gérard Rinaldi', 'Michel Musseau', 'René Lafleur', 'Philippe Lehembre', 'Patrick Rocca', 'Manuel Le Lièvre', 'Céline Milliat-Baumgartner']",['Nathalie Schmidt'],"Gemini Films, Ahora Films","['Comédie', 'Drame']",534454,"[35, 18]",https://image.tmdb.org/t/p/w500/mEpHv8Fj5xkip2s6TgKGXuBmXRZ.jpg,Comédie,Drame,-
Les amours imaginaires,"Francis et Marie, deux amis, tombent amoureux de la même personne. Leur trio va rapidement se transformer en relation malsaine où chacun va tenter d'interpréter à sa manière les mots et gestes de celui qu'il aime…",95,11-06-2010,7.104,1033,3.9903,"['Monia Chokri', 'Niels Schneider', 'Xavier Dolan', 'Anne Dorval', 'Anne-Élisabeth Bossé', 'Olivier Morin', 'Magalie Lépine-Blondeau', 'Éric Bruneau', 'Gabriel Lessard', 'Bénédicte Décary', 'François Bernier', 'Benoît McGinnis', 'François-Xavier Dufour', 'Anthony Huneault', 'Patricia Tulasne', 'Jody Hargreaves', 'Clara Palardy', 'Minou Petrowski', 'Perrette Souplex', 'Sophie Desmarais', 'Louis Garrel', 'Steve James']",['Xavier Dolan'],Mifilifilms,"['Drame', 'Romance']",51241,"[18, 10749]",https://image.tmdb.org/t/p/w500/pIUebyGAEdSq3pQaxdd50qFKJ0g.jpg,Drame,Romance,-
La Défense Loujine,"Basé sur le roman de Vladimir Nabokov, un grand maître d'échecs voyage en Italie dans les années 1920 pour jouer dans un tournoi et tombe amoureux.",112,21-08-2000,6.146,41,3.989,"['John Turturro', 'Emily Watson', 'Geraldine James', 'Stuart Wilson', 'Fabio Sartor', 'Peter Blythe', 'Orla Brady', 'Mark Tandy', 'Kelly Hunter', 'Antonio Carli']",['Marleen Gorris'],Inconnu,"['Romance', 'Drame']",52654,"[10749, 18]",https://image.tmdb.org/t/p/w500/tVV3PhTO58R0CAsvWhsUkYDzIEZ.jpg,Romance,Drame,-
